11	tigrinya	ብሓደ እናተጓዓዝና ከሎና ፡ ሰበይተይ ነቲ ጎልፍ ዝጻወተሉ ቅያር ክዳውንተይ ዝሓዘ ቦርሳይ እንተተሓንገጠቶ ክጠቕማ ይኽእልዶ ?
12	geez	ወአመ አብአከ እግዚአብሔር አምላክከ ውስተ ምድር እንተ መሐለ እግዚአብሔር ለአበዊከ ለአብርሃም ወለይስሐቅ ወለያዕቆብ ከመ የሀብከ አህጉረ ዐበይተ ወሠናይተ ዘኢነደቀ ፤
13	tigrinya	ክልቴና ካብ ነጥሪ ዝመጽኣና ትእዛዝ ድማ ንስኻ ሓብረኒ ኣነ ድማ ክሕብረካ የ ።
14	tigrinya	በንጻሩ ህዝቢ ዝነብረላ ንእሽቶ ደሴታዊት ሃገረ ኬፕ ቨርደ ንኻልኣይ ተኸታታሊ ግዜኣ ኣብዚ ውድድር ተሳቲፋ ።
15	geez	ወይትኔበዩ እስከ ፍና ሰርክ ወእምዝ ሶበ ኮነ ጊዜ ዕርገተ መሥዋዕት ወይቤሎሙ ኤልያስ ለነቢያተ ኀፍረት ይከውነክሙ እምይእዜሰ እንከ እግበር አነኒ መሥዋዕትየ ወተግሕሡ ወሖሩ ።
16	tigre	ሎርድ ላኪን ዘመን ሰበት ይዐለ እግሉ ኢተሐሰረ እበ ።
17	tigre	እሊ ወቅት እሊ ከረሙ ትመጽእ ።
18	geez	ወአንተ ዝክርየ በኵሉ ጊዜ ። ከመ ኳሄላ ኮንክዎሙ ለብዙኃን ። ወአንተ ረዳእየ ወኀይልየ ።
19	amharic	የ ኦሎምፒክ የብር ሜዳሊያ ተሸላሚ የሆነው አሚር ካሃን ከውስጥ ልቤ ፤ ሴቶች መጣላት እንደሌለባቸው አስባለው ። ይህ የኔ አስተሳሰብ ነው ብሏል ።
20	geez	ወንኩን ንሕነኒ ከመ ኵሉ አሕዛብ ወይሎንነነ ንጉሥነ ወይፃእ ቅድሜነ ወይፅባእ ፀረነ ።
21	tigre	እሊ ተጀሙዕ እትለን ናይ ክልኤ ሰነት ዕምሩ ሚ ሽቅል ስርጉል ሀለ ? ገሌ ምነ አግደ ለወደዩ ወቀይ ዶል እንዘክር ፡ እግል አንሳት ዱቅሪ ለከስስ ብዙሕ ሰሚናራት ዋዲ ሀለ ።
22	geez	ወተወከፍኩ ከመ ኣእምር ፤ ወዝንቱሰ ጻማ ውእቱ በቅድሜየ ።
23	tigre	እተ መደት ለሀ ክርነሸነ እብ አዋልድ አንሳት እብ እዘኑ እግል ልስመዕ ዲብ ነሐብረን እግል ልትጸገዕ ዐለት እግሉ ።
24	amharic	የዚህ ዓለም ፍቅር ሰኞ አዲስ ፣ ማክሰኞ ልብስ ፣ ረቡዕ ብጥስጥስ የሚሏት አባባል ነበረች ።
25	amharic	በኦህዴድ የስብሰባ ማጠቃለያ ላይ መግለጫ የሰጡት ም ሊቀ መንበሩ አቶ ለማ መገርሳ በበኩላቸው ፤ ከአሁን በኋላ የምናካሂደው ጠንካራ ትግል ነው ብለዋል ።
26	amharic	ሰልፈኛዉን አደራጆቹን ሌላዉ ቀርቶ ሐኪሞችን ሳይቀር እያሳደደ ያስር ይደበድብ ያቆስል ሲከፋም ይደፍርና ይገድል ገባ ።
27	tigrinya	ኣብ መንገዶም እቲ ቘልዓ ነቲ ኸልቢ ኸም ዘይጠቅም ፍጥረት ቈጺሩ ፡ ናብ ድሕሪት እናተመልሰ ጽልኣቱ ብምርኣይ ደጋጊሙ ዘበጦ ።
28	geez	ወይቤሎ ሴኬም ለኤሞር አቡሁ ንሥኣ ሊተ ለዛቲ ድንግል ትኩነኒ ብእሲተ ።
29	tigrinya	ከምዚ እናበላ እናሰሓቓ ኸኣ ናብቲ ምርኢት መጽሓፍቲ ዝካየደሉ ቦታ ኣተዋ ።
30	amharic	ምክንያቱም ፣ የሰው ልጅ በራሱ ጥረት በሚያመነጨው እውቀትና ነፃ ፈቃድ ብቻ ህይወቱን የመምራት ፍላጎቱ ተፈጥሯዊና መቼም ቢሆን የማይቀር ስለሆነ ነው ።
31	blin	ጃኒ እዅራ ዓይግሲ ኒትክ ጭንፍፍ ሲዅ ፤ እማ ተርእሊ ይዅላ ።
32	tigre	አምሳላት እንግሊዝ ወተርጀመቱ በዐል አመል አመሉ ኢለሐድግ ወደብር አካኑ ።
33	tigrinya	በብግዜኡ እናዓበየት ድማ ናይ ኩርባታት መዋሰቢ ን ፡ ጎሚኖታት ከምኡ ውን ድሪፕ ኢሪገሽን ማሽናት ባዕልና ተኺልና ኣብ ዚ ሕጂ ዘላቶ ደረጃ ክትበጽሕ ክኢላ ።
34	blin	ኣወያ ከዋ ዲባ ዓንቀይል መንደርትራዅን ምንግስ ምልክዲ ታንትጝዲ ሁከትዲ ሻዅማ ወሪ ወረባ ጣፍሕ ፍትሕዅዲ ናይ
35	blin	እን ልጝንሊ ላኣዳም ካያ ተረንግል ዓራትል ገንጁ እርጉዅ ።
36	amharic	እስካሁን ከህዝቡ የተሰበሰበውን ገንዘብ ግልጽነትና ተጠያቂነት በጎደለው አኳኋን እያተስተዳደረው ይገኛል
37	tigre	ፈጅር እት ናይ ቀሻይም መራትብ አዋሬሕ እለ ምዕልካተ ።
38	blin	እን ጉባኤትል እን ጀረብሱ እርገሰና እን ቂጦራ ንር ኣካንሊ ወንተርቲ ።
39	blin	ገረስታ ቀሓትል ገእይስቶ ህንበኵ ።
40	tigrinya	ሓዳስ ኤርትራ መጋቢት - ገጽ ዘብል ዕቃድ የብለይን ።
41	tigrinya	ንሕርሻታት እኽሊ ከይዕብልል ሽሕ ሄክታር ጥራይ እኳ ብመንግስቲ ተፈቒዱ እንተነበረ ፡ እቲ ኣወላፊ ተኽሊ ብዘለዎ ተደላይነት ኣብዚ ግዜ እዚ ካብ ሽሕ ሄክታር ንላዕሊ ከም ዝሕረስ ሚድል ኢስት ኦንላይን የረድእ ።
42	amharic	የቡናዋ ሀገር ናንሰቦ ካሏት ቀበሌዎች ውስጥ ቱ በቡና ምርት የታደሉ ናቸው ።
43	blin	ገመኒል እንትኖሰና ፡ እና ጀጉራ ይመጡ አረምነስ ቂልሱዅ ።
44	tigre	እሊ ክሉ ለእግሉ እግል ሊበለ አንበተ ።
45	blin	ክራው ተለይዲ ማዲትና ፣ ጅእዲ ሓሺሽዲትል ሰገርውዲ ጨሪትና ።
46	amharic	የራሳቸውን ህንጻ ዘግተው የሚከራዩ ተቋማት ይዞታቸው ሊነጠቅ ነው ።
47	blin	ኣባይ ከደንልድ ቀጠቦ እንቶ ቃሓርሲ ናዳግሊ ፍዱ እርገድ ትክስነ ደለይድናዅ ግን ።
48	tigre	ረእሱ ወረአስ ስብኡ ለሀ ሌ እት ልብል ልድሕር ።
49	geez	ወለኵሉ ንዋዩ ወተቅዋመ ማኅቶቱ ወለኵሉ ንዋዩ ወቤተ ምሥዋዕ ፤
50	amharic	ሃርዲን ዴላ ኢኒዮን ። ይህ ቦታ የተገነባው ለ ኛው ክፍለ ዘመን ገዳም እንደ መካከለኛ ክፍል ሲሆን ቴምፕሎ ዲ ሳንዴጎ ደግሞ የዚህ ቦታ ብቸኛው ቅሪት ነው ።
